name,geography,hq_city,hq_state,sector,round_stage,amount_musd,found_in
"IonQ",other_us,"College Park",MD,quantum,,,"The Quantum Insider: IonQ Researchers Run MegaQuOp-Scale Quantum Error Decoder on a MacBook Pro"
"Ares",other_us,"Los Angeles",CA,real_estate,,4000,"CNA — Business: Ares raises $4 billion for Japan logistics fund in unit's largest fundraise"
"Reframe Systems",other_us,"Andover",MA,robotics,,40,"The Robot Report: Reframe Systems raises $40M to scale its robotic microfactories for home building"
"Diodes Incorporated",other_us,"Plano",TX,semiconductors,,,"Semiconductor Digest: Diodes Completes Acquisition of ElevATE Semiconductor"
"Navitas",other_us,"Torrance",CA,semiconductors,,,"Semiconductor Digest: Navitas Delivers Latest Gen 5 GaNFast Manufactured in the U.S. Through GlobalFoundries Partnership"
"NextSilicon",other_us,"Austin",TX,semiconductors,,,"Semiconductor Digest: NextSilicon Appoints Rupal Hollenbeck President and Chief Business Officer"
"Silicon Catalyst",other_us,"Austin",TX,semiconductors,,,"Semiconductor Digest: Silicon Catalyst Expands US Leadership Team"
"proteanTecs",other_us,"Austin",TX,semiconductors,,,"Semiconductor Digest: proteanTecs Unveils Advanced Packaging Solutions"
"Amazon Web Services",other_us,"Seattle",WA,software_platforms,,,"aws.amazon.com: AWS moves to acquire the company behind DuckDB"
"JobNimbus",other_us,"Lehi",UT,software_platforms,,,"Business Insider — Markets: JobNimbus Unveils a New Push to Modernize the Roofing Industry"
"LRN Corporation",other_us,"Boston",MA,software_platforms,,,"Business Wire — High Tech: LRN Corporation Wins Gold & Silver in Brandon Hall Group™ HCM Excellence Awards for Sixth Consecutive Year"
"MicroStrategy",other_us,"Tysons",VA,software_platforms,,,"decrypt.co: Strategy's Bitcoin Is $2.8 Billion in Profit. Is Saylor Teeing Up a Buy?"
"Blue Canyon Technologies",other_us,"Boulder",CO,space,,,"4?ds=true&seed=1788218458: RTX’s Blue Canyon Technologies introduces new spacecraft mission enabler"
"Earth Science Tech",other_us,"Doral",FL,space,,,"Business Insider — Markets: Earth Science Tech (ETST) Taps into New Verticals with Zoolzy Acquisition"
"Northwood Space",other_us,"El Segundo",CA,space,,,"Trade & Industry Development: CA: Northwood Opens Torrance Factory to Mass-Produce Satellite Ground Infrastructure, to Add 400 Jobs"
"Tendeg",other_us,"New York",NY,space,,,"8?ds=true&seed=1788218458: Tendeg Launches NewTEN Steerable Compact Antenna at SmallSat"
"Akeso",other_us,"Boston",MA,therapeutics,,,"Fierce Biotech: Akeso CEO looks beyond lung cancer with biliary tract win, counters ivonescimab debate"
"Akeso Therapeutics",other_us,"Cambridge",MA,therapeutics,,,"Fierce Biotech: Akeso CEO looks beyond lung cancer with biliary tract win, counters ivonescimab debate"
"Eli Lilly",other_us,"Indianapolis",IN,therapeutics,,,"Genetic Engineering News: Lilly Looks Beyond Obesity with Up-to-$2.9B Acquisition of Merida Biosciences"
